15
103
1 2 3
1 3 1
1 5 2
1 6 2
1 15 1
2 4 3
2 8 0
2 10 1
2 13 4
3 2 4
3 3 3
3 4 2
3 6 2
3 9 2
3 11 6
3 12 5
3 13 7
4 1 2
4 2 4
4 5 2
4 7 3
4 9 4
4 10 5
4 15 3
5 1 0
5 2 2
5 3 3
5 5 3
5 11 5
5 12 5
5 13 5
5 15 3
6 2 4
6 4 6
6 8 6
6 9 8
6 10 6
6 11 3
6 13 3
7 3 6
7 4 7
7 5 5
7 11 3
7 12 1
7 13 3
7 15 4
8 1 3
8 3 5
8 6 4
8 7 3
8 9 8
8 12 2
8 14 2
9 5 4
9 9 5
9 10 6
9 11 4
9 14 2
10 1 1
10 3 0
10 5 5
10 7 4
10 12 5
10 13 3
10 14 3
11 1 0
11 2 1
11 3 1
11 4 3
11 7 5
11 8 3
11 10 4
11 12 5
12 1 1
12 3 4
12 5 7
12 6 8
12 10 7
12 13 6
13 2 5
13 4 5
13 5 6
13 8 7
13 9 6
13 10 7
13 11 6
13 12 6
13 15 2
14 4 4
14 6 6
14 7 7
14 9 6
14 11 6
14 12 7
14 15 2
15 2 2
15 3 2
15 5 3
15 6 4
15 8 5
15 9 3
15 10 3
15 13 3
